,mean,sd,hpd_3%,hpd_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
mu_movie[0],1.724,0.937,-0.085,3.412,0.012,0.009,5840.0,5769.0,5837.0,6362.0,1.0
mu_movie[1],-1.288,0.983,-3.162,0.576,0.014,0.01,5214.0,4947.0,5218.0,5536.0,1.0
mu_movie[2],-1.806,1.018,-3.781,0.038,0.014,0.01,5545.0,4922.0,5529.0,5007.0,1.0
mu_movie[3],-1.589,1.063,-3.563,0.404,0.013,0.01,7213.0,6258.0,7182.0,6114.0,1.0
mu_movie[4],-2.361,1.15,-4.58,-0.219,0.014,0.01,6591.0,6286.0,6576.0,6580.0,1.0
mu_movie[5],-0.6,0.898,-2.254,1.097,0.013,0.009,4533.0,4533.0,4537.0,6149.0,1.0
mu_movie[6],0.609,0.981,-1.22,2.458,0.013,0.01,5422.0,4821.0,5420.0,6009.0,1.0
mu_movie[7],-0.07,0.988,-1.987,1.706,0.013,0.009,5488.0,5478.0,5490.0,6656.0,1.0
mu_movie[8],-0.67,1.114,-2.773,1.408,0.013,0.011,7593.0,5248.0,7591.0,6606.0,1.0
mu_movie[9],0.365,0.913,-1.335,2.108,0.014,0.01,4002.0,4002.0,4004.0,5136.0,1.0
mu_movie[10],1.58,0.977,-0.185,3.478,0.014,0.01,5077.0,4879.0,5079.0,5340.0,1.0
mu_movie[11],-2.121,0.959,-3.91,-0.341,0.015,0.011,4289.0,4164.0,4288.0,6184.0,1.0
mu_movie[12],1.679,1.036,-0.198,3.716,0.013,0.009,6694.0,6595.0,6690.0,5966.0,1.0
mu_movie[13],-0.743,0.999,-2.639,1.107,0.012,0.01,6493.0,5240.0,6494.0,6770.0,1.0
mu_movie[14],1.108,0.903,-0.558,2.802,0.012,0.009,5466.0,5466.0,5440.0,5655.0,1.0
mu_movie[15],-1.078,1.35,-3.514,1.576,0.014,0.013,9761.0,5822.0,9909.0,6557.0,1.0
mu_movie[16],-2.763,0.982,-4.62,-0.929,0.013,0.009,5823.0,5720.0,5825.0,6355.0,1.0
mu_movie[17],-4.509,1.114,-6.615,-2.427,0.014,0.01,6510.0,6159.0,6504.0,5832.0,1.0
mu_movie[18],2.297,1.188,0.187,4.639,0.013,0.01,8224.0,7780.0,8224.0,6641.0,1.0
mu_movie[19],1.109,1.199,-1.145,3.346,0.014,0.011,7100.0,5793.0,7102.0,6579.0,1.0
mu_movie[20],0.089,0.98,-1.839,1.836,0.013,0.01,5362.0,5105.0,5357.0,6416.0,1.0
mu_movie[21],-1.193,0.872,-2.739,0.511,0.013,0.009,4387.0,4387.0,4385.0,5862.0,1.0
mu_movie[22],-3.61,0.98,-5.527,-1.854,0.013,0.009,5955.0,5806.0,5961.0,6251.0,1.0
mu_movie[23],0.277,0.974,-1.609,2.065,0.013,0.01,5736.0,4868.0,5745.0,5996.0,1.0
mu_movie[24],1.56,0.961,-0.296,3.264,0.014,0.01,4592.0,4592.0,4597.0,5847.0,1.0
mu_movie[25],3.067,1.073,1.137,5.154,0.013,0.009,6785.0,6547.0,6782.0,6701.0,1.0
mu_movie[26],0.082,0.923,-1.64,1.837,0.013,0.009,5130.0,5130.0,5136.0,6340.0,1.0
mu_movie[27],1.293,1.113,-0.752,3.42,0.014,0.01,6222.0,6022.0,6233.0,6859.0,1.0
mu_movie[28],2.532,1.055,0.521,4.509,0.013,0.009,6681.0,6482.0,6669.0,6387.0,1.0
mu_movie[29],-2.067,0.85,-3.619,-0.431,0.014,0.01,3841.0,3841.0,3848.0,4966.0,1.0
mu_movie[30],-0.286,0.964,-2.077,1.524,0.012,0.01,6181.0,4544.0,6188.0,6180.0,1.0
mu_movie[31],3.591,1.345,1.061,6.099,0.014,0.01,9379.0,9061.0,9354.0,6546.0,1.0
mu_movie[32],0.237,0.939,-1.493,2.004,0.013,0.009,5029.0,5022.0,5032.0,5799.0,1.0
mu_movie[33],-1.509,0.969,-3.311,0.28,0.015,0.01,4366.0,4366.0,4363.0,5888.0,1.0
mu_movie[34],0.892,0.972,-0.981,2.648,0.014,0.01,4836.0,4836.0,4838.0,6057.0,1.0
mu_movie[35],1.746,1.047,-0.231,3.686,0.012,0.009,7083.0,6403.0,7083.0,6788.0,1.0
