,mean,sd,hpd_3%,hpd_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
mu_movie[0],0.002,3.1,-5.897,5.743,0.022,0.036,20575.0,3710.0,20557.0,7053.0,1.0
mu_movie[1],-1.299,0.977,-3.201,0.451,0.013,0.009,5325.0,5325.0,5318.0,6395.0,1.0
mu_movie[2],-1.843,1.02,-3.716,0.087,0.015,0.011,4400.0,4400.0,4392.0,6236.0,1.0
mu_movie[3],-1.589,1.083,-3.609,0.491,0.013,0.01,6811.0,6006.0,6806.0,6392.0,1.0
mu_movie[4],-2.403,1.161,-4.494,-0.191,0.015,0.011,5842.0,5397.0,5845.0,5789.0,1.0
mu_movie[5],-0.589,0.886,-2.299,1.008,0.016,0.011,3241.0,3241.0,3239.0,5408.0,1.0
mu_movie[6],0.585,0.971,-1.252,2.364,0.014,0.01,4849.0,4849.0,4840.0,6104.0,1.0
mu_movie[7],-0.107,0.993,-1.997,1.724,0.015,0.011,4258.0,4258.0,4269.0,6228.0,1.0
mu_movie[8],-0.637,1.088,-2.754,1.351,0.013,0.011,6741.0,4980.0,6760.0,4578.0,1.0
mu_movie[9],0.346,0.906,-1.328,2.042,0.014,0.01,4044.0,4044.0,4053.0,5979.0,1.0
mu_movie[10],1.551,0.966,-0.255,3.369,0.014,0.01,4456.0,4380.0,4460.0,6065.0,1.0
mu_movie[11],-2.146,0.952,-3.964,-0.385,0.014,0.01,4418.0,4418.0,4414.0,6143.0,1.0
mu_movie[12],1.698,1.028,-0.197,3.695,0.012,0.009,7509.0,6736.0,7518.0,6658.0,1.0
mu_movie[13],-0.732,0.951,-2.393,1.147,0.013,0.009,5205.0,5205.0,5202.0,5775.0,1.0
mu_movie[14],1.116,0.913,-0.633,2.793,0.014,0.01,4363.0,4309.0,4365.0,5920.0,1.0
mu_movie[15],-1.085,1.372,-3.67,1.402,0.015,0.012,8763.0,6573.0,8794.0,6195.0,1.0
